"isin (S)","name (S)","stocktwits (BOOL)","stocktwitsLastMessageId (N)","symbol (S)","twitterLastId (N)"
"BE0974293251","Anheuser-Busch","true","186104815","BUD","1208336325402906624"
"COMPQ","NASDAQ Composite Index","true","0","COMPQ","1208066598315147265"
"DIA","SPDR Dow Jones Industrial Average","true","0","DIA","1208055468049850368"
"DJIA","Dow Jones Industrial Index","true","0","DJIA","1208528282414653447"
"JP3436100006","Softbank","true","186290518","SFTBY","1208359750208901120"
"NASDAQ","NASDAQ","true","0","NASDAQ","1208515395285606408"
"NL0000009165","Heineken","true","172107990","HEINY","1208279075959259137"
"NL0000388619","Unilever","true","186822897","UL","1208267688021233666"
"SPX","S&P 500 Index","true","0","SPX","1208699364618768385"
"SPY","SPDR S&P 500","true","0","SPY","1208688982047019008"
"US00287Y1091","AbbVie","true","186930662","ABBV","1208413456870912007"
"US00507V1098","Activision Blizzard","true","181986135","ATVI","1208664786717872128"
"US00724F1012","Adobe","true","185472308","ADBE","1208573568059150336"
"US01609W1027","Alibaba","true","186617952","BABA","1208697241445101569"
"US02079K1079","Alphabet C","true","185251434","GOOG","1208696877157240832"
"US02079K3059","Alhabet A","true","181752586","GOOGL","1208696698727387137"
"US0231351067","Amazon","true","182520637","AMZN","1208696519165014017"
"US0378331005","Apple","true","186261888","AAPL","1208696160635912192"
"US0382221051","Applied Materials","true","186774656","AMAT","1208554951762415616"
"US0567521085","Baidu","true","186869643","BIDU","1208686127760039937"
"US0605051046","Bank of America","true","183793699","BAC","1208697958880837632"
"US09247X1019","Blackrock","true","186935691","BLK","1208639788351467520"
"US1491231015","Caterpillar","true","186772576","CAT","1208498188778397703"
"US17275R1023","Cisco","true","183667069","CSCO","1208699211941699584"
"US1912161007","Coca-Cola","true","185123678","KO","1208356189660037121"
"US2546871060","Walt Disney","true","181998455","DIS","1208698496645128192"
"US30303M1027","Facebook","true","181820155","FB","1208697061488484352"
"US36165L1089","GDS Holdings","true","186221408","GDS","1208505900677373953"
"US38141G1040","Goldman Sachs","true","186902833","GS","1208631804426620928"
"US4581401001","Intel","true","184392426","INTC","1208698854616383488"
"US4592001014","IBM","true","184923234","IBM","1208471188797681669"
"US46625H1005","JPMorgan Chase","true","184218238","JPM","1208697421313609729"
"US47215P1066","JD.com","true","182687290","JD","1208685836948197377"
"US4781601046","Johnson & Johnson","true","183938852","JNJ","1208694265985093638"
"US57636Q1040","Mastercard","true","186870902","MA","1208119239258845185"
"US5801351017","McDonald's","true","186370296","MCD","1208674660042170368"
"US5949181045","Microsoft","true","181544533","MSFT","1208696340496019462"
"US6092071058","Mondelez","true","185954114","MDLZ","1208477319070965760"
"US6541061031","Nike","true","183805040","NKE","1208699568121995264"
"US67066G1040","NVIDIA","true","182405943","NVDA","1208699931717849091"
"US7170811035","Pfizer","true","186953650","PFE","1208541628824268800"
"US7427181091","Procter & Gamble","true","185466262","PG","1208355477626580993"
"US7475251036","QUALCOMM","true","183118581","QCOM","1208524650772344833"
"US88032Q1094","Tencent","true","186725427","TCEHY","1208489317141745674"
"US88160R1014","Tesla","true","186529476","TSLA","1208698828502786049"
"US8825081040","Texas Instruments","true","186703274","TXN","1208629236631789568"
"US88579Y1010","3M","true","186630475","MMM","1208465254730084353"
"US9078181081","Union Pacific","true","186554991","UNP","1208602068639813632"
"US9130171096","United Technologies","true","186657247","UTX","1208520381717471232"
"US92826C8394","Visa","true","183500768","V","1208697778542530560"
"US9485961018","Weibo","true","186412944","WB","1208397969722093574"
"US9497461015","Wells Fargo","true","185029571","WFC","1208699032849108992"
